username,id,displayname,followersCount,friendsCount,location
AshishSainram,120123219,Ashish Chauhan,47652,881,"Shimla/Mumbai, India"
RKSinhaBJP,3299307066,"RK Sinha, Founding Member, BJP",84145,27,"New Delhi, Delhi"
jayantsinha,17850606,Jayant Sinha,343667,445,India
KailashOnline,439154852,Kailash Vijayvargiya,1717466,2096,Delhi
LavekarBharati,755306754926313472,Dr. Bharati Lavekar,20088,554,"Mumbai, India"
sriramulubjp,2926777939,B Sriramulu,149293,122,
drdineshbjp,4208714065,Dr Dinesh Sharma BJP,2319699,280,"Uttar Pradesh, Lucknow"
ABVPVoice,301382741,ABVP,276165,160,"Mumbai, India"
RahulMhambre,815622985939816448,Rahul Mhambre,4385,155,Goa
Vinay1011,44667113,Dr. VINAY Sahasrabuddhe,165208,674,"New Delhi & Thane,Maharashtra"
zankhanabenbjp,497766595,Zankhanaben Patel,50041,376,Surat
amitmalviya,95588504,Amit Malviya,602971,670,"Delhi, Prayagraj, Kolkata"
RajBabbar23,2393674370,Raj Babbar,775367,135,India
bhikhubhaidbjp,2547602874,Bhikhubhai Dalsaniya,171007,23,"Gandhinagar, India"
brinderdhillon,137433560,Brinder,5578,141,chandigarh
Parinayfuke,900946980053991425,Dr Parinay Fuke,7782,149,"Nagpur, India Mumbai"
sunilkjakhar,3153134184,Sunil Jakhar,58375,69,"Punjab, India"
IACAbhi,1391854105,Abhishek Gupta,21859,1508,"New Delhi, India"
rameshwar4111,970475575,Rameshwar Sharma,108979,1793,"Bhopal, India"
AmitShah,1447949844,Amit Shah,28790936,305,
Palamvidhansabh,781342582592851968,Bhavna Gaur - MLA Delhi,3189,75,"New Delhi, India"
AAPGoa,2245097203,Aam Aadmi Party Goa,42652,335,Goa
gopalkagarwal,321380775,Gopal Krishna Agarwal,32689,834,noida
